plate,plate_glycerol,row,col,cross_letter,cross,genotype,strain_num,passage,contamination
IMG_070_crop.JPG,IMG_098_crop.JPG,9,16,B,M1,M,69,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,16,A,L1,L,70,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,16,B,M1,M,70,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,16,A,L1,L,71,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,16,B,M1,M,71,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,16,A,L1,L,72,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,16,B,M1,M,72,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,17,C,H1,H,65,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,17,D,L2,L,65,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,17,C,H1,H,66,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,17,D,L2,L,66,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,17,C,H1,H,67,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,17,D,L2,L,67,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,17,C,H1,H,68,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,17,D,L2,L,68,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,17,C,H1,H,69,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,17,D,L2,L,69,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,17,C,H1,H,70,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,17,D,L2,L,70,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,17,C,H1,H,71,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,17,D,L2,L,71,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,17,C,H1,H,72,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,17,D,L2,L,72,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,18,A,L1,L,73,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,18,B,M1,M,73,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,18,A,L1,L,74,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,18,B,M1,M,74,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,18,A,L1,L,75,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,18,B,M1,M,75,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,18,A,L1,L,76,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,18,B,M1,M,76,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,18,A,L1,L,77,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,18,B,M1,M,77,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,18,A,L1,L,78,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,18,B,M1,M,78,0,1
