# gitter v1.1.1 data file generated on Wed May 29 03:24:03 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
13	16	1450	0.8689	
13	17	2345	0.8951	
13	18	1772	0.8457	
13	19	2718	0.8749	
13	20	1736	0.8396	
13	21	2825	0.8965	
13	22	2182	0.3954	C
13	23	2937	0.843	
13	24	2570	0.6331	
14	1	3079	0.8398	
14	2	2483	0.8891	
14	3	2333	0.8354	
14	4	2404	0.8554	
14	5	2113	0.8792	
14	6	1732	0.8427	
14	7	1448	0.8239	
14	8	2710	0.9111	
14	9	2930	0.877	
14	10	2746	0.8612	
14	11	2566	0.826	
14	12	2642	0.8936	
14	13	2959	0.9015	
14	14	2843	0.875	
14	15	3106	0.8915	
14	16	3080	0.921	
14	17	1861	0.8908	
14	18	2758	0.9216	
14	19	1990	0.9009	
14	20	2169	0.8856	
14	21	2987	0.9087	
14	22	2980	0.8899	
14	23	529	0.4784	C
14	24	969	0.6853	
15	1	2967	0.8681	
15	2	1826	0.8225	
15	3	2609	0.8749	
15	4	0	NA	
15	5	2423	0.8441	
15	6	1807	0.8255	
15	7	2261	0.8241	
15	8	1754	0.8336	
15	9	2474	0.8544	
15	10	1833	0.8562	
15	11	2234	0.829	
15	12	1712	0.7996	
15	13	2688	0.9014	
15	14	1595	0.8992	
15	15	2370	0.8941	
15	16	1448	0.8689	
15	17	2525	0.8316	
15	18	1704	0.8439	
15	19	2477	0.8791	
15	20	1894	0.9121	
15	21	2595	0.868	
15	22	215	0.4811	C
15	23	3209	0.8221	
15	24	2244	0.4173	C
16	1	2146	0.7284	
16	2	2212	0.8554	
16	3	2572	0.8892	
16	4	2276	0.841	
16	5	2419	0.9126	
16	6	2357	0.8591	
16	7	2433	0.8934	
16	8	2252	0.8905	
16	9	1723	0.8419	
16	10	2035	0.8882	
16	11	138	0.716	
16	12	2144	0.9167	
16	13	2127	0.8513	
16	14	2041	0.8996	
16	15	2553	0.8949	
16	16	2207	0.8567	
16	17	510	0.3712	C
16	18	2192	0.8783	
16	19	1383	0.8288	
16	20	2459	0.9125	
16	21	1325	0.7861	
16	22	2811	0.8693	
16	23	2738	0.874	
16	24	3213	0.8839	
