# gitter v1.1.1 data file generated on Wed May 29 03:23:54 2019
# Warning possible misgridding: high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
13	10	2082	0.8816	
13	11	2444	0.8829	
13	12	1748	0.863	
13	13	2634	0.9097	
13	14	0	NA	
13	15	2664	0.8782	
13	16	2181	0.894	
13	17	2605	0.8887	
13	18	1999	0.8665	
13	19	2635	0.8626	
13	20	2157	0.7792	
13	21	2780	0.8478	
13	22	2023	0.2161	C
13	23	2794	0.8972	
13	24	2238	0.2672	C
14	1	3060	0.843	
14	2	2020	0.8746	
14	3	2813	0.9011	
14	4	2835	0.8526	
14	5	2614	0.8713	
14	6	2240	0.8752	
14	7	1879	0.8839	
14	8	3173	0.8769	
14	9	2500	0.9055	
14	10	2784	0.8732	
14	11	2476	0.8968	
14	12	2485	0.8756	
14	13	2657	0.8625	
14	14	2297	0.8892	
14	15	2820	0.8853	
14	16	2230	0.8476	
14	17	2024	0.8823	
14	18	2212	0.8781	
14	19	2032	0.8489	
14	20	1981	0.8854	
14	21	2638	0.9167	
14	22	2419	0.8693	
14	23	3014	0.889	
14	24	3142	0.8081	
15	1	2861	0.8371	
15	2	781	0.708	
15	3	2610	0.885	
15	4	1483	0.8658	
15	5	2293	0.8358	
15	6	1265	0.8084	
15	7	2199	0.9125	
15	8	942	0.7266	
15	9	2156	0.8479	
15	10	1895	0.8915	
15	11	2193	0.8929	
15	12	1574	0.8574	
15	13	2534	0.9154	
15	14	1980	0.817	
15	15	2393	0.897	
15	16	1176	0.749	
15	17	2752	0.8703	
15	18	2040	0.8868	
15	19	2443	0.8825	
15	20	2511	0.8694	
15	21	2569	0.8895	
15	22	1899	0.8561	
15	23	2875	0.92	
15	24	2149	0.3897	C
16	1	2426	0.7075	
16	2	2138	0.8223	
16	3	2541	0.8634	
16	4	1785	0.7308	
16	5	2178	0.8717	
16	6	3001	0.8953	
16	7	2133	0.912	
16	8	3013	0.8866	
16	9	1830	0.8671	
16	10	2282	0.807	
16	11	1807	0.7997	
16	12	2357	0.8723	
16	13	1896	0.8439	
16	14	2378	0.8801	
16	15	2304	0.9146	
16	16	2933	0.87	
16	17	2101	0.8331	
16	18	2210	0.8821	
16	19	1974	0.8474	
16	20	2783	0.8937	
16	21	1118	0.7416	
16	22	2618	0.8549	
16	23	2731	0.9026	
16	24	3306	0.8709	
